iter	Passed	Remaining
0	54	54529
1	54	27382
2	55	18348
3	55	13829
4	55	11109
5	56	9294
6	56	7997
7	56	7032
8	57	6277
9	57	5675
10	57	5181
11	57	4768
12	58	4407
13	58	4111
14	58	3850
15	58	3619
16	59	3415
17	59	3237
18	59	3077
19	59	2932
20	60	2800
21	60	2681
22	60	2575
23	60	2477
24	61	2386
25	61	2300
26	61	2221
27	62	2157
28	62	2092
29	62	2029
30	63	1973
31	63	1915
32	63	1861
33	63	1815
34	64	1767
35	64	1723
36	64	1681
37	64	1640
38	65	1607
39	65	1572
40	65	1538
41	66	1508
42	66	1477
43	66	1448
44	66	1419
45	67	1392
46	67	1368
47	67	1342
48	67	1318
49	68	1295
50	68	1273
51	68	1250
52	68	1231
53	69	1210
54	69	1192
55	69	1173
56	69	1155
57	70	1138
58	70	1122
59	70	1105
60	70	1090
61	71	1075
62	71	1061
63	71	1047
64	71	1034
65	72	1022
66	72	1009
67	72	998
68	73	985
69	73	973
70	73	961
71	73	949
72	73	939
73	74	928
74	74	919
75	74	909
76	75	900
77	75	891
78	75	882
79	75	873
80	76	864
81	76	855
82	76	848
83	77	841
84	77	833
85	77	825
86	77	818
87	78	810
88	78	804
89	78	797
90	79	790
91	79	784
92	79	777
93	79	770
94	80	762
95	80	756
96	80	751
97	80	745
98	81	738
99	81	732
100	81	726
101	81	720
102	82	714
103	82	708
104	82	703
105	82	698
106	83	694
107	83	689
108	83	684
109	84	679
110	84	674
111	84	670
112	84	665
113	85	661
114	85	657
115	85	652
116	85	648
117	86	643
118	86	640
119	86	635
120	86	631
121	87	627
122	87	623
123	87	619
124	87	615
125	88	611
126	88	608
127	88	605
128	89	601
129	89	597
130	89	594
131	89	591
132	90	587
133	90	584
134	90	581
135	91	578
136	91	575
137	91	571
138	91	568
139	91	565
140	92	561
141	92	558
142	92	555
143	93	552
144	93	550
145	93	547
146	93	544
147	94	541
148	94	539
149	94	536
150	94	533
151	95	530
152	95	527
153	95	524
154	95	522
155	95	519
156	96	516
157	96	514
158	96	512
159	97	509
160	97	506
161	97	504
162	97	502
163	97	499
164	98	497
165	98	494
166	98	492
167	99	490
168	99	488
169	99	485
170	99	483
